contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,spot,dividendYield
SPY250411C00615000,2025-04-04 20:08:23+00:00,615.0,0.01,0.0,0.04,0.0,0.0,101.0,1184,0.5273484765625001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00616000,2025-04-02 14:14:57+00:00,616.0,0.03,0.0,0.04,0.0,0.0,1.0,186,0.5312546875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00617000,2025-03-31 17:50:17+00:00,617.0,0.01,0.0,0.04,0.0,0.0,4.0,670,0.5351608984375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00618000,2025-04-03 18:40:44+00:00,618.0,0.01,0.0,0.04,0.0,0.0,3.0,394,0.5390671093750001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00619000,2025-04-01 14:13:37+00:00,619.0,0.01,0.0,0.04,0.0,0.0,100.0,272,0.5429733203125001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00620000,2025-04-04 19:05:49+00:00,620.0,0.02,0.0,0.03,0.01,100.0,54.0,3304,0.5312546875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00621000,2025-04-04 14:52:01+00:00,621.0,0.03,0.0,0.04,0.01,50.0,1.0,261,0.5507857421875001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00622000,2025-04-03 13:44:56+00:00,622.0,0.02,0.0,0.04,0.0,0.0,2.0,251,0.5546919531250001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00623000,2025-04-01 16:17:16+00:00,623.0,0.02,0.0,0.03,0.0,0.0,1.0,427,0.5468795312500001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00624000,2025-04-04 17:44:13+00:00,624.0,0.02,0.0,0.03,0.0,0.0,8.0,1453,0.5468795312500001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00625000,2025-04-04 17:43:39+00:00,625.0,0.02,0.0,0.03,0.0,0.0,26.0,2911,0.5546919531250001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00626000,2025-04-02 16:40:04+00:00,626.0,0.01,0.0,0.03,0.0,0.0,140.0,528,0.5546919531250001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00627000,2025-04-03 14:29:25+00:00,627.0,0.01,0.0,0.03,0.0,0.0,1.0,64,0.5625043750000001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00628000,2025-03-28 19:52:07+00:00,628.0,0.01,0.0,0.03,0.0,0.0,4.0,1042,0.5625043750000001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
